,Countries,Page
0, Afghanistan,1
1, Aland Islands,1
2, Albania,1
3, Algeria,1
4, American Samoa,1
5, Andorra,1
6, Angola,1
7, Anguilla,1
8, Antarctica,1
9, Antigua and Barbuda,1
10, Argentina,2
11, Armenia,2
12, Aruba,2
13, Australia,2
14, Austria,2
15, Azerbaijan,2
16, Bahamas,2
17, Bahrain,2
18, Bangladesh,2
19, Barbados,2
20, Belarus,3
21, Belgium,3
22, Belize,3
23, Benin,3
24, Bermuda,3
25, Bhutan,3
26, Bolivia,3
27," Bonaire, Saint Eustatius and Saba",3
28, Bosnia and Herzegovina,3
29, Botswana,3
30, Bouvet Island,4
31, Brazil,4
32, British Indian Ocean Territory,4
33, British Virgin Islands,4
34, Brunei,4
35, Bulgaria,4
36, Burkina Faso,4
37, Burundi,4
38, Cambodia,4
39, Cameroon,4
40, Canada,5
41, Cape Verde,5
42, Cayman Islands,5
43, Central African Republic,5
44, Chad,5
45, Chile,5
46, China,5
47, Christmas Island,5
48, Cocos Islands,5
49, Colombia,5
50, Comoros,6
51, Cook Islands,6
52, Costa Rica,6
53, Croatia,6
54, Cuba,6
55, Curacao,6
56, Cyprus,6
57, Czech Republic,6
58, Democratic Republic of the Congo,6
59, Denmark,6
60, Djibouti,7
61, Dominica,7
62, Dominican Republic,7
63, East Timor,7
64, Ecuador,7
65, Egypt,7
66, El Salvador,7
67, Equatorial Guinea,7
68, Eritrea,7
69, Estonia,7
70, Ethiopia,8
71, Falkland Islands,8
72, Faroe Islands,8
73, Fiji,8
74, Finland,8
75, France,8
76, French Guiana,8
77, French Polynesia,8
78, French Southern Territories,8
79, Gabon,8
80, Gambia,9
81, Georgia,9
82, Germany,9
83, Ghana,9
84, Gibraltar,9
85, Greece,9
86, Greenland,9
87, Grenada,9
88, Guadeloupe,9
89, Guam,9
90, Guatemala,10
91, Guernsey,10
92, Guinea,10
93, Guinea-Bissau,10
94, Guyana,10
95, Haiti,10
96, Heard Island and McDonald Islands,10
97, Honduras,10
98, Hong Kong,10
99, Hungary,10
100, Iceland,11
101, India,11
102, Indonesia,11
103, Iran,11
104, Iraq,11
105, Ireland,11
106, Isle of Man,11
107, Israel,11
108, Italy,11
109, Ivory Coast,11
110, Jamaica,12
111, Japan,12
112, Jersey,12
113, Jordan,12
114, Kazakhstan,12
115, Kenya,12
116, Kiribati,12
117, Kosovo,12
118, Kuwait,12
119, Kyrgyzstan,12
120, Laos,13
121, Latvia,13
122, Lebanon,13
123, Lesotho,13
124, Liberia,13
125, Libya,13
126, Liechtenstein,13
127, Lithuania,13
128, Luxembourg,13
129, Macao,13
130, Macedonia,14
131, Madagascar,14
132, Malawi,14
133, Malaysia,14
134, Maldives,14
135, Mali,14
136, Malta,14
137, Marshall Islands,14
138, Martinique,14
139, Mauritania,14
140, Mauritius,15
141, Mayotte,15
142, Mexico,15
143, Micronesia,15
144, Moldova,15
145, Monaco,15
146, Mongolia,15
147, Montenegro,15
148, Montserrat,15
149, Morocco,15
150, Mozambique,16
151, Myanmar,16
152, Namibia,16
153, Nauru,16
154, Nepal,16
155, Netherlands,16
156, Netherlands Antilles,16
157, New Caledonia,16
158, New Zealand,16
159, Nicaragua,16
160, Niger,17
161, Nigeria,17
162, Niue,17
163, Norfolk Island,17
164, North Korea,17
165, Northern Mariana Islands,17
166, Norway,17
167, Oman,17
168, Pakistan,17
169, Palau,17
170, Palestinian Territory,18
171, Panama,18
172, Papua New Guinea,18
173, Paraguay,18
174, Peru,18
175, Philippines,18
176, Pitcairn,18
177, Poland,18
178, Portugal,18
179, Puerto Rico,18
180, Qatar,19
181, Republic of the Congo,19
182, Reunion,19
183, Romania,19
184, Russia,19
185, Rwanda,19
186, Saint Barthelemy,19
187, Saint Helena,19
188, Saint Kitts and Nevis,19
189, Saint Lucia,19
190, Saint Martin,20
191, Saint Pierre and Miquelon,20
192, Saint Vincent and the Grenadines,20
193, Samoa,20
194, San Marino,20
195, Sao Tome and Principe,20
196, Saudi Arabia,20
197, Senegal,20
198, Serbia,20
199, Serbia and Montenegro,20
200, Seychelles,21
201, Sierra Leone,21
202, Singapore,21
203, Sint Maarten,21
204, Slovakia,21
205, Slovenia,21
206, Solomon Islands,21
207, Somalia,21
208, South Africa,21
209, South Georgia and the South Sandwich Islands,21
210, South Korea,22
211, South Sudan,22
212, Spain,22
213, Sri Lanka,22
214, Sudan,22
215, Suriname,22
216, Svalbard and Jan Mayen,22
217, Swaziland,22
218, Sweden,22
219, Switzerland,22
220, Syria,23
221, Taiwan,23
222, Tajikistan,23
223, Tanzania,23
224, Thailand,23
225, Togo,23
226, Tokelau,23
227, Tonga,23
228, Trinidad and Tobago,23
229, Tunisia,23
230, Turkey,24
231, Turkmenistan,24
232, Turks and Caicos Islands,24
233, Tuvalu,24
234, U.S. Virgin Islands,24
235, Uganda,24
236, Ukraine,24
237, United Arab Emirates,24
238, United Kingdom,24
239, United States,24
240, United States Minor Outlying Islands,25
241, Uruguay,25
242, Uzbekistan,25
243, Vanuatu,25
244, Vatican,25
245, Venezuela,25
246, Vietnam,25
247, Wallis and Futuna,25
248, Western Sahara,25
249, Yemen,25
250, Zambia,26
251, Zimbabwe,26
